SUPPORT,CONFIDENCE,LIFT,LHS,RHS,COUNT
0.03101,0.75,19,1526,"(1325,)",12
0.03101,0.8,19,1325,"(1526,)",12
0.03101,0.8571428571428572,13,973,"(972,)",12
0.03359,0.393939393939394,2,700,"(956,)",12
0.03359,0.34210526315789475,5,633,"(626,)",12
0.03101,0.7058823529411765,21,267,"(266,)",12
0.03359,0.33333333333333337,2,366,"(712,)",12
0.03359,0.23214285714285718,2,712,"(366,)",12
0.03101,0.375,2,954,"(1120,)",12
0.03101,0.923076923076923,21,266,"(267,)",12
0.03101,0.23076923076923075,1,1247,"(951,)",12
0.03101,0.5,13,972,"(973,)",12
0.03101,0.18181818181818182,1,951,"(1266,)",12
0.03101,0.18181818181818182,1,951,"(1247,)",12
0.03359,0.5,5,626,"(633,)",12
0.03359,0.2653061224489796,2,1324,"(65,)",12
0.03101,0.2857142857142857,2,1118,"(1324,)",12
0.03359,0.2653061224489796,3,1324,"(711,)",12
0.03101,0.2222222222222222,3,953,"(711,)",12
0.03101,0.16901408450704225,1,1056,"(1247,)",12
0.03101,0.4,2,641,"(703,)",12
0.03359,0.30952380952380953,1,1118,"(951,)",12
0.03101,0.2,2,703,"(641,)",12
0.03359,0.325,2,64,"(1324,)",12
0.03101,0.4444444444444444,3,711,"(953,)",12
0.03101,0.6,17,1320,"(1321,)",12
0.03101,0.375,2,954,"(1030,)",12
0.03101,0.923076923076923,17,1321,"(1320,)",12
0.03359,0.2653061224489796,2,1324,"(64,)",12
0.03359,0.35135135135135137,2,65,"(1324,)",12
0.03101,0.3157894736842105,2,1026,"(953,)",12
0.03359,0.8125,15,364,"(1320,)",12
0.03101,0.23076923076923075,1,1247,"(1056,)",12
0.03101,0.7058823529411765,5,63,"(953,)",12
0.03101,0.2448979591836735,2,1324,"(1118,)",12
0.03359,0.24074074074074076,3,1266,"(1085,)",12
0.03359,0.5416666666666667,3,1085,"(1266,)",12
0.03359,0.196969696969697,1,951,"(1118,)",12
0.03359,0.65,15,1320,"(364,)",12
0.03101,0.7058823529411765,6,63,"(64,)",12
0.03101,0.23076923076923075,2,1247,"(849,)",12
0.03359,0.19402985074626866,2,956,"(700,)",12
0.03359,0.4814814814814815,3,711,"(1324,)",12
0.03101,0.2222222222222222,1,1030,"(982,)",12
0.03101,0.2608695652173913,1,710,"(1120,)",12
0.03101,0.2142857142857143,3,712,"(317,)",12
0.03101,0.4444444444444444,3,317,"(712,)",12
0.03359,0.17567567567567569,1,982,"(703,)",12
0.03359,0.21666666666666667,1,703,"(982,)",12
0.03359,0.19402985074626866,1,956,"(366,)",12
0.03359,0.43333333333333335,8,1245,"(1244,)",12
0.03101,0.3,2,849,"(1247,)",12
0.03359,0.6842105263157895,8,1244,"(1245,)",12
0.03101,0.17910447761194032,3,956,"(952,)",12
0.03359,0.24074074074074076,2,953,"(366,)",12
0.03101,0.3076923076923077,1,366,"(1120,)",12
0.03359,0.33333333333333337,1,366,"(956,)",12
0.03101,0.2222222222222222,1,1266,"(951,)",12
0.03101,0.19354838709677422,1,1120,"(366,)",12
0.03101,0.19354838709677422,1,1120,"(710,)",12
0.03101,0.19354838709677422,2,1120,"(954,)",12
0.03101,0.2222222222222222,5,953,"(63,)",12
0.02584,0.3846153846153846,5,626,"(635,)",10
0.02842,0.3928571428571429,2,255,"(1120,)",10
0.02584,0.37037037037037035,11,260,"(254,)",10
0.02842,0.20370370370370372,2,953,"(308,)",10
0.02842,0.18333333333333335,1,703,"(1348,)",10
0.02584,0.23809523809523808,1,1118,"(982,)",10
0.02584,0.17857142857142858,2,712,"(626,)",10
0.02842,0.40740740740740744,2,711,"(1030,)",10
0.02584,0.5882352941176471,3,267,"(956,)",10
0.02584,0.18518518518518517,2,1266,"(1319,)",10
0.02584,0.6666666666666666,8,631,"(641,)",10
0.02584,0.13513513513513514,1,982,"(1118,)",10
0.02842,0.40740740740740744,8,1174,"(1365,)",10
0.02842,0.40740740740740744,2,308,"(953,)",10
0.02584,0.14925373134328357,2,956,"(317,)",10
0.02842,0.20370370370370372,2,953,"(700,)",10
0.02584,0.43478260869565216,3,240,"(1030,)",10
0.02584,0.35714285714285715,2,1034,"(705,)",10
0.02584,0.5882352941176471,3,1240,"(956,)",10
0.02584,0.21276595744680848,2,705,"(1034,)",10
0.02842,0.20370370370370372,2,1030,"(711,)",10
0.02842,0.5789473684210527,8,1365,"(1174,)",10
0.02584,0.16666666666666666,1,703,"(1118,)",10
0.02584,0.37037037037037035,2,317,"(956,)",10
0.02584,0.14925373134328357,3,956,"(1240,)",10
0.02842,0.33333333333333337,2,700,"(953,)",10
0.02584,0.14925373134328357,3,956,"(267,)",10
0.02584,0.14925373134328357,2,956,"(1174,)",10
0.02584,0.37037037037037035,2,1174,"(956,)",10
0.02584,0.3333333333333333,8,641,"(631,)",10
0.02584,0.21276595744680848,4,705,"(708,)",10
0.02584,0.31249999999999994,3,103,"(1087,)",10
0.02842,0.5238095238095238,3,614,"(956,)",10
0.02584,0.13513513513513514,1,982,"(65,)",10
0.02584,0.4,5,635,"(626,)",10
0.02584,0.2702702702702703,1,65,"(982,)",10
0.02584,0.20408163265306123,1,1062,"(712,)",10
0.02842,0.2972972972972973,2,65,"(705,)",10
0.02584,0.17857142857142858,1,712,"(1062,)",10
0.02842,0.23404255319148937,2,705,"(65,)",10
0.02584,0.35714285714285715,8,255,"(258,)",10
0.02584,0.18518518518518517,2,953,"(1319,)",10
0.02842,0.16417910447761194,3,956,"(614,)",10
0.02842,0.44000000000000006,3,635,"(705,)",10
0.02842,0.16666666666666669,1,951,"(710,)",10
0.02584,0.2,2,1267,"(1245,)",10
0.02584,0.3846153846153846,3,239,"(705,)",10
0.02584,0.5882352941176471,8,258,"(255,)",10
0.02584,0.21276595744680848,3,705,"(239,)",10
0.02584,0.5,4,708,"(705,)",10
0.02842,0.1774193548387097,2,1120,"(255,)",10
0.02584,0.3846153846153846,2,626,"(712,)",10
